rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,x_pos,y_pos,,,,,,,,,
-63,-78,-61,-57,-46,-66,-61,-66,3.5,3.5,,,,,,,,,
-74,-81,-61,-74,-45,-64,-63,-61,3.5,3.5,,,,,,,,,
-62,-70,-67,-62,-44,-61,-58,-65,3.5,3.5,,,,,,,,,
-67,-69,-69,-85,-45,-61,-77,-66,3.5,3.5,,,,,,,,,
-67,-66,-59,-57,-44,-69,-60,-59,3.5,3.5,,,,,,,,,
-65,-72,-58,-63,-45,-62,-79,-66,3.5,3.5,,,,,,,,,
-70,-79,-65,-60,-43,-69,-60,-61,3.5,3.5,,,,,,,,,
-64,-72,-60,-71,-44,-64,-82,-62,3.5,3.5,,,,,,,,,
-64,-64,-61,-63,-44,-61,-83,-62,3.5,3.5,,,,,,,,,
-67,-70,-66,-62,-44,-64,-84,-62,3.5,3.5,,,,,,,,,
-67,-64,-61,-63,-44,-61,-66,-65,3.5,3.5,,,,,,,,,
-65,-72,-66,-70,-43,-64,-80,-60,3.5,3.5,,,,,,,,,
-64,-72,-66,-62,-46,-64,-68,-62,3.5,3.5,,,,,,,,,
-63,-72,-61,-62,-44,-59,-59,-66,3.5,3.5,,,,,,,,,
-73,-66,-68,-71,-45,-67,-69,-60,3.5,3.5,,,,,,,,,
-68,-62,-68,-69,-49,-65,-74,-60,3.5,3.5,,,,,,,,,
-74,-73,-68,-61,-46,-66,-64,-63,3.5,3.5,,,,,,,,,
-62,-69,-67,-58,-43,-64,-75,-70,3.5,3.5,,,,,,,,,
-81,-64,-68,-67,-46,-62,-75,-60,3.5,3.5,,,,,,,,,
-75,-71,-59,-69,-45,-63,-63,-59,3.5,3.5,,,,,,,,,
-77,-73,-65,-59,-46,-63,-61,-63,3.5,3.5,,,,,,,,,
-67,-74,-59,-68,-43,-65,-63,-68,3.5,3.5,,,,,,,,,
-67,-64,-67,-61,-43,-63,-62,-66,3.5,3.5,,,,,,,,,
-73,-81,-59,-64,-43,-63,-65,-60,3.5,3.5,,,,,,,,,
-73,-71,-60,-68,-44,-59,-59,-60,3.5,3.5,,,,,,,,,
-77,-70,-67,-65,-45,-61,-61,-62,3.5,3.5,,,,,,,,,
-69,-65,-68,-62,-44,-67,-64,-70,3.5,3.5,,,,,,,,,
-70,-63,-65,-73,-46,-62,-61,-60,3.5,3.5,,,,,,,,,
-71,-73,-59,-61,-46,-59,-69,-64,3.5,3.5,,,,,,,,,
-65,-62,-65,-60,-45,-64,-65,-68,3.5,3.5,,,,,,,,,
